caseID,activity_chain,next_activity,global_timestamps,local_timestamps
173688,"[3, 5, 5]",5,"[0.0, 0.0018591680223100163, 0.602312340227748]","[0.0, 0.003096274794388002, 1.0]"
173688,"[5, 6]",end,"[0.7522658610271903, 1.0]","[0.24973391388485727, 0.4126753749395259]"
173691,"[3, 3, 5]",5,"[0.0, 0.013192008540491079, 0.013192008540491079]","[0.0, 0.017877441355792084, 0.00010333781130515655]"
173691,"[5, 5, 5]",6,"[0.24348025011438157, 0.2435565044990087, 0.981546438920238]","[0.3120801901415728, 0.00010333781130515655, 1.0]"
173691,"[6, 6, 6]",end,"[0.9873417721518988, 0.9997712368461187, 1.0]","[0.007853673659191897, 0.016844063242740518, 0.0003100134339154697]"
173694,"[3, 3, 3]",3,"[0.0, 0.05812655967863012, 0.060804642009373286]","[0.0, 0.2607627195776827, 0.01192318194229544]"
173694,"[3, 5, 5]",5,"[0.0609466615269127, 0.06102781553693522, 0.2692487167522165]","[0.0007281332483844543, 0.00036406662419222717, 0.9341039410212069]"
173694,"[5, 5, 5]",5,"[0.27265718517316234, 0.38793645641015234, 0.47734788695246405]","[0.015199781560025485, 0.5171566396650588, 0.40111040320378627]"
173694,"[5, 5, 5]",5,"[0.7002576639818215, 0.7391913002901256, 0.8193714621923756]","[1.0, 0.17475197961226904, 0.3596068080458724]"
173694,"[5, 5, 5]",6,"[0.9109537625027897, 0.913895595366106, 0.9332508267564771]","[0.41084918540092835, 0.013197415126968235, 0.08682988986984619]"
173694,[6],end,[1.0],[0.29944479839810684]
173703,"[3, 3]",end,"[0.0, 1.0]","[0.0, 1.0]"
173706,"[1, 3, 3]",3,"[0.0, 0.3286219081272085, 0.34275618374558303]","[0.0, 0.5, 0.021505376344086023]"
173706,[3],end,[1.0],[1.0]
173709,"[3, 3, 3]",3,"[0.0, 0.0017029667473335126, 0.30017029667473333]","[0.0, 0.0024334016393442624, 0.4264856557377049]"
173709,[3],end,[1.0],[1.0]
173712,"[1, 3, 3]",3,"[0.0, 0.054885786802030455, 0.9349619289340102]","[0.0, 0.06236481614996395, 1.0]"
173712,[3],end,[1.0],[0.07390050468637346]
173715,"[3, 3, 5]",5,"[0.0, 0.0025523522246069957, 0.6016590289459945]","[0.0, 0.004260263361735089, 1.0]"
173715,"[5, 6]",end,"[0.7557282905040895, 1.0]","[0.2571649883810999, 0.40772656855151046]"
173718,"[3, 5, 5]",5,"[0.0, 0.0, 5.354322276657832e-05]","[0.0, 0.0, 0.0001919201612129354]"
173718,"[5, 5, 5]",5,"[0.00016062966829973497, 0.00016062966829973497, 0.2791475918935561]","[0.0002878802418194031, 0.0, 1.0]"
173718,"[5, 6, 4]",4,"[0.3472277996412604, 0.4655850935667818, 0.46638824190828043]","[0.24412244506285385, 0.4242395163611937, 0.0028788024181940312]"
173718,"[4, 4, 4]",4,"[0.46767327925467833, 0.4729740583085696, 0.4730543731427195]","[0.00460608386911045, 0.019096056040687075, 0.0001919201612129354]"
