
Fold: 0
Hyperopt trials
tid, loss, learning_rate, batch_size, cells, LSTMLayers, train_time
0,1.174155,0.000287,0,2,0,17.845617
1,1.112273,0.000392,0,3,0,7.809074
2,1.383563,0.000060,1,2,0,6.846165
3,1.172100,0.000386,0,3,0,7.554561
4,1.488421,0.000028,1,1,1,17.794028
5,1.332209,0.000050,1,2,0,7.033741
6,0.810467,0.003270,1,2,0,6.370919
7,1.172717,0.007969,1,1,1,8.443965
8,1.197702,0.000340,1,2,0,6.252267
9,1.384569,0.000019,0,2,1,14.569239
10,1.257541,0.000128,0,2,0,8.076214
11,1.199563,0.000430,1,3,1,10.610620
12,1.100854,0.000463,1,3,0,6.338537
13,1.279840,0.000146,0,2,0,7.958664
14,1.132235,0.000858,1,0,1,10.107795
15,1.324680,0.000020,1,0,0,20.845074
16,0.747053,0.009887,1,3,0,6.095280
17,0.916973,0.001490,1,1,0,6.387568
18,1.265674,0.000082,0,3,0,8.101800
19,1.326167,0.000311,0,1,1,15.801035
20,0.779938,0.009561,1,0,0,5.314963
21,0.753560,0.009935,1,0,0,5.294375
22,0.852186,0.004792,1,0,0,5.842714
23,0.878320,0.002272,1,0,0,6.190358
24,0.818717,0.006004,1,0,0,5.655720

Best parameters:{'LSTMLayers': 1, 'batch_size': 256, 'cells': 200, 'learning_rate_init': 0.009886562468445981}

Fold: 1
Hyperopt trials
tid, loss, learning_rate, batch_size, cells, LSTMLayers, train_time
0,1.186061,0.000052,0,0,1,54.789669
1,1.076684,0.001282,1,1,1,8.955083
2,0.953616,0.001124,1,3,0,7.647954
3,1.336333,0.003099,1,3,1,9.713783
4,0.949816,0.001289,1,2,0,6.167284
5,1.271929,0.004296,1,2,1,9.475790
6,1.273949,0.007993,0,2,1,11.237132
7,1.068028,0.000890,0,1,0,7.075476
8,1.393610,0.000089,1,0,0,6.588131
9,1.292536,0.000220,0,1,1,19.444102
10,1.364344,0.000022,1,0,0,25.683121
11,1.057020,0.000869,1,1,0,5.963831
12,0.808181,0.002422,1,3,0,6.151751
13,1.452581,0.000041,1,1,1,10.520136
14,1.325172,0.000243,0,1,1,17.368683
15,1.003860,0.004510,1,2,1,8.492244
16,1.013590,0.001268,1,1,0,5.950725
17,1.042947,0.002925,1,0,1,8.466830
18,1.068936,0.001088,0,0,0,6.948622
19,1.207047,0.000373,0,1,0,7.572436
20,1.084898,0.000493,1,3,0,6.125223
21,0.758078,0.007092,1,3,0,5.507674
22,0.751980,0.008366,1,3,0,5.538204
23,0.770009,0.009711,1,3,0,5.468006
24,0.756701,0.009977,1,3,0,5.493541

Best parameters:{'LSTMLayers': 1, 'batch_size': 256, 'cells': 200, 'learning_rate_init': 0.008366275906567229}

Fold: 2
Hyperopt trials
tid, loss, learning_rate, batch_size, cells, LSTMLayers, train_time
0,0.863334,0.000380,0,0,0,21.548019
1,0.708933,0.003953,1,0,0,7.137162
2,0.738818,0.003617,1,0,0,5.349446
3,1.046572,0.000023,0,1,1,56.619135
4,0.843591,0.000178,0,0,0,36.268134
5,1.081832,0.000016,0,1,1,57.373621
6,0.989321,0.000878,0,3,1,12.057272
7,1.112393,0.000023,1,2,0,30.669655
8,0.697318,0.002658,1,3,0,5.957387
9,0.918948,0.000086,0,1,0,44.411510
10,1.043901,0.000343,0,1,1,13.185150
11,1.004728,0.000606,1,0,0,5.986158
12,1.119877,0.000012,1,3,1,45.808119
13,0.818696,0.001845,1,0,0,6.051648
14,1.086383,0.000015,0,3,0,49.452170
15,0.864867,0.001788,1,1,1,8.756338
16,0.937490,0.000861,1,0,1,10.028309
17,0.758002,0.003760,0,0,0,7.012596
18,1.032591,0.000131,1,3,1,18.031278
19,1.087790,0.000031,1,3,0,31.460852
20,0.719745,0.008362,1,2,0,5.346544
21,0.709977,0.009242,1,2,0,5.245207
22,0.690390,0.004505,1,3,0,5.774416
23,0.725760,0.005891,1,3,0,5.576923
24,0.758227,0.001768,1,3,0,5.958193

Best parameters:{'LSTMLayers': 1, 'batch_size': 256, 'cells': 200, 'learning_rate_init': 0.004504521041027074}
