
Fold: 0
Hyperopt trials
tid, loss, learning_rate, batch_size, cells, LSTMLayers, train_time
0,0.054985,0.000287,0,2,0,44.663213
1,0.054512,0.000392,0,3,0,33.783655
2,0.057101,0.000060,1,2,0,27.267970
3,0.053165,0.000386,0,3,0,35.418320
4,0.051199,0.000028,1,1,1,61.596929
5,0.057263,0.000050,1,2,0,41.035307
6,0.050098,0.003270,1,2,0,15.420414
7,0.046999,0.007969,1,1,1,22.611614
8,0.054795,0.000340,1,2,0,20.473069
9,0.049786,0.000019,0,2,1,73.115356
10,0.052741,0.000128,0,2,0,36.691803
11,0.050533,0.000430,1,3,1,22.959985
12,0.055245,0.000463,1,3,0,16.661447
13,0.052672,0.000146,0,2,0,36.978966
14,0.049361,0.000858,1,0,1,23.154163
15,0.053231,0.000020,1,0,0,100.462735
16,0.046965,0.009887,1,3,0,13.832217
17,0.054121,0.001490,1,1,0,14.001835
18,0.055789,0.000082,0,3,0,38.865032
19,0.050935,0.000311,0,1,1,40.631143
20,0.047422,0.009561,1,1,1,25.357428
21,0.049442,0.009935,1,1,1,21.059514
22,0.048852,0.004820,1,1,1,19.759139
23,0.051666,0.004350,1,0,1,20.037276
24,0.048356,0.001818,1,3,1,22.651631

Best parameters:{'LSTMLayers': 1, 'batch_size': 256, 'cells': 200, 'learning_rate_init': 0.009886562468445981}

Fold: 1
Hyperopt trials
tid, loss, learning_rate, batch_size, cells, LSTMLayers, train_time
0,0.039985,0.000052,0,0,1,115.170601
1,0.040303,0.001282,1,1,1,22.859003
2,0.043750,0.001124,1,3,0,14.274869
3,0.040387,0.003099,1,3,1,24.600455
4,0.042832,0.001289,1,2,0,14.188508
5,0.041573,0.004296,1,2,1,22.815374
6,0.038044,0.007993,0,2,1,43.098376
7,0.042845,0.000890,0,1,0,26.808489
8,0.043325,0.000089,1,0,0,63.381370
9,0.042186,0.000220,0,1,1,68.541059
10,0.040827,0.000022,1,0,0,110.868470
11,0.043587,0.000869,1,1,0,16.620651
12,0.042641,0.002422,1,3,0,14.572925
13,0.039580,0.000041,1,1,1,100.377604
14,0.041102,0.000243,0,1,1,61.352324
15,0.040293,0.004510,1,2,1,25.297370
16,0.045401,0.001268,1,1,0,13.205576
17,0.042258,0.002925,1,0,1,21.752829
18,0.041981,0.001088,0,0,0,21.905127
19,0.043321,0.000373,0,1,0,26.038508
20,0.041108,0.000014,0,2,1,142.582675
21,0.039061,0.009965,0,2,1,59.218246
22,0.039899,0.007863,0,2,1,55.425815
23,0.039677,0.008861,0,2,1,58.123243
24,0.041723,0.009539,0,2,1,42.363874

Best parameters:{'LSTMLayers': 2, 'batch_size': 128, 'cells': 150, 'learning_rate_init': 0.007992771350784264}

Fold: 2
Hyperopt trials
tid, loss, learning_rate, batch_size, cells, LSTMLayers, train_time
0,0.039983,0.000380,0,0,0,25.336558
1,0.036727,0.003953,1,0,0,14.717002
2,0.035568,0.003617,1,0,0,14.900893
3,0.040262,0.000023,0,1,1,82.981778
4,0.038351,0.000178,0,0,0,39.147635
5,0.040443,0.000016,0,1,1,82.915479
6,0.037101,0.000878,0,3,1,37.214874
7,0.041645,0.000023,1,2,0,60.316989
8,0.037154,0.002658,1,3,0,16.579364
9,0.039110,0.000086,0,1,0,51.813882
10,0.038409,0.000343,0,1,1,48.603020
11,0.038309,0.000606,1,0,0,22.297660
12,0.039012,0.000012,1,3,1,50.649130
13,0.037028,0.001845,1,0,0,13.946607
14,0.040096,0.000015,0,3,0,78.592609
15,0.039861,0.001788,1,1,1,21.681141
16,0.037239,0.000861,1,0,1,24.465058
17,0.035954,0.003760,0,0,0,24.195375
18,0.037638,0.000131,1,3,1,38.709566
19,0.041521,0.000031,1,3,0,36.604803
20,0.037349,0.008460,0,2,0,29.208785
21,0.036309,0.008791,0,0,0,24.239354
22,0.036297,0.004420,0,0,0,28.206173
23,0.035750,0.006320,1,0,0,14.910512
24,0.036711,0.008607,1,2,0,20.480813

Best parameters:{'LSTMLayers': 1, 'batch_size': 256, 'cells': 50, 'learning_rate_init': 0.003617497718435051}
