
Fold: 0
Hyperopt trials
tid, loss, learning_rate, batch_size, cells, LSTMLayers, train_time
0,0.275743,0.000287,0,2,0,15.453873
1,0.277937,0.000392,0,3,0,11.021149
2,0.285110,0.000060,1,2,0,27.123588
3,0.277034,0.000386,0,3,0,10.134386
4,0.318715,0.000028,1,1,1,39.289093
5,0.287417,0.000050,1,2,0,35.791087
6,0.276858,0.003270,1,2,0,6.588143
7,0.318170,0.007969,1,1,1,9.831851
8,0.277797,0.000340,1,2,0,11.310182
9,0.308158,0.000019,0,2,1,54.385252
10,0.286179,0.000128,0,2,0,23.626946
11,0.310891,0.000430,1,3,1,12.740014
12,0.286004,0.000463,1,3,0,10.119752
13,0.283009,0.000146,0,2,0,18.558209
14,0.304032,0.000858,1,0,1,11.491022
15,0.371875,0.000020,1,0,0,34.099686
16,0.266329,0.009887,1,3,0,6.835389
17,0.274320,0.001490,1,1,0,6.891810
18,0.297662,0.000082,0,3,0,23.499753
19,0.298562,0.000311,0,1,1,14.573066
20,0.284435,0.001869,1,1,0,7.527305
21,0.251901,0.009940,1,1,0,6.426077
22,0.268389,0.009786,1,1,0,6.263365
23,0.269613,0.005183,1,0,0,6.195640
24,0.265918,0.004182,1,3,0,7.334311

Best parameters:{'LSTMLayers': 1, 'batch_size': 256, 'cells': 100, 'learning_rate_init': 0.009939702660577013}

Fold: 1
Hyperopt trials
tid, loss, learning_rate, batch_size, cells, LSTMLayers, train_time
0,0.377372,0.000052,0,0,1,39.025543
1,0.357413,0.001282,1,1,1,10.991377
2,0.296748,0.001124,1,3,0,7.311247
3,0.343024,0.003099,1,3,1,11.385809
4,0.288555,0.001289,1,2,0,8.601638
5,0.349916,0.004296,1,2,1,11.928782
6,0.342870,0.007993,0,2,1,14.629477
7,0.288832,0.000890,0,1,0,8.692965
8,0.293479,0.000089,1,0,0,28.356145
9,0.331920,0.000220,0,1,1,15.671772
10,0.347047,0.000022,1,0,0,34.736213
11,0.304819,0.000869,1,1,0,6.983243
12,0.296310,0.002422,1,3,0,7.171426
13,0.349680,0.000041,1,1,1,29.802103
14,0.336023,0.000243,0,1,1,14.970685
15,0.330871,0.004510,1,2,1,11.389121
16,0.286084,0.001268,1,1,0,6.685338
17,0.378630,0.002925,1,0,1,10.070082
18,0.270406,0.001088,0,0,0,8.470814
19,0.300829,0.000373,0,1,0,11.604613
20,0.301564,0.000419,0,0,0,13.836347
21,0.281400,0.007307,0,0,0,8.443346
22,0.271571,0.005627,0,0,0,8.194215
23,0.281519,0.009404,0,0,0,8.026147
24,0.279198,0.000640,0,0,0,10.742069

Best parameters:{'LSTMLayers': 1, 'batch_size': 128, 'cells': 50, 'learning_rate_init': 0.0010884518543340872}

Fold: 2
Hyperopt trials
tid, loss, learning_rate, batch_size, cells, LSTMLayers, train_time
0,0.223487,0.000380,0,0,0,20.711240
1,0.209374,0.003953,1,0,0,7.403809
2,0.204246,0.003617,1,0,0,7.036924
3,0.298940,0.000023,0,1,1,66.072522
4,0.215341,0.000178,0,0,0,25.422679
5,0.297825,0.000016,0,1,1,73.943734
6,0.291417,0.000878,0,3,1,15.630651
7,0.299555,0.000023,1,2,0,30.211318
8,0.210798,0.002658,1,3,0,7.515009
9,0.236487,0.000086,0,1,0,26.733978
10,0.278925,0.000343,0,1,1,16.091201
11,0.208542,0.000606,1,0,0,12.101335
12,0.290804,0.000012,1,3,1,48.785936
13,0.210461,0.001845,1,0,0,8.512641
14,0.263843,0.000015,0,3,0,59.582736
15,0.260333,0.001788,1,1,1,11.040909
16,0.286257,0.000861,1,0,1,11.320136
17,0.218791,0.003760,0,0,0,10.929938
18,0.279683,0.000131,1,3,1,15.416712
19,0.311348,0.000031,1,3,0,29.599255
20,0.214939,0.007855,1,2,0,7.043934
21,0.211517,0.007100,1,0,0,6.369683
22,0.217055,0.000775,1,0,0,11.583887
23,0.229620,0.000590,1,0,0,11.074520
24,0.215296,0.009880,1,2,0,7.033264

Best parameters:{'LSTMLayers': 1, 'batch_size': 256, 'cells': 50, 'learning_rate_init': 0.003617497718435051}
